Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Thailand,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Timor-Leste,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Togo,L,L,L,L,L,L,L,L,L,L
Tonga,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Trinidad and Tobago,H,H,H,H,H,H,H,H,H,H
Tunisia,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Türkiye,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Turkmenistan,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Turks and Caicos Islands,H,H,H,H,H,H,H,H,H,H
Tuvalu,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Uganda,L,L,L,L,L,L,L,L,L,L
Ukraine,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM
United Arab Emirates,H,H,H,H,H,H,H,H,H,H
United Kingdom,H,H,H,H,H,H,H,H,H,H
United States,H,H,H,H,H,H,H,H,H,H
Uruguay,H,H,H,H,H,H,H,H,H,H
Uzbekistan,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Vanuatu,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
"Venezuela, RB",UM,UM,UM,UM,UM,,,,,
Viet Nam,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Virgin Islands (U.S.),H,H,H,H,H,H,H,H,H,H
West Bank and Gaza,LM,LM,LM,LM,LM,LM,LM,UM,LM,LM
"Yemen, Rep.",LM,LM,L,L,L,L,L,L,L,L
Zambia,LM,LM,LM,LM,LM,LM,L,LM,LM,LM
Zimbabwe,L,L,L,LM,LM,LM,LM,LM,LM,LM
,,,,,,,,,,
"* At this time, there were Yemen, PDR (L) and Yemen, Arab Rep. (LM); combined they would have been LM.",,,,,,,,,,
,,,,,,,,,,
Czechoslovakia (former),,,,,,,,,,
Mayotte,,,,,,,,,,
Netherlands Antilles (former),,,,,,,,,,
Serbia and Montenegro (former),,,,,,,,,,
USSR (former),,,,,,,,,,
Yugoslavia (former),,,,,,,,,,
,,,,,,,,,,
"Note: Income classifications are set each year on July 1 for all World Bank member economies, and all other economies with populations of more than 30,000. These official analytical classifications are fixed during the World Bank's fiscal year (ending on June 30), thus economies remain in the categories in which they are classified irrespective of any revisions to their per capita income data. The historical classifications shown are as published on July 1 of each fiscal year.",,,,,,,,,,
